scc,level1,level2,level3,level4,ACES_fuel_category,SEDS_code,CO_emission_factor,CO_ef_units,CO2_emission_factor,CO2_ef_units
20400101,Internal Combustion Engines,Engine Testing,Aircraft Engine Testing,Turbojet,jet fuel / kerosene,KSICP,113.5,Lb / 1000 Gallon,18786.60539602,Lb / 1000 Gallon
20400102,Internal Combustion Engines,Engine Testing,Aircraft Engine Testing,Turboshaft,jet fuel / kerosene,KSICP,113.5,Lb / 1000 Gallon,18786.60539602,Lb / 1000 Gallon
20400110,Internal Combustion Engines,Engine Testing,Aircraft Engine Testing,Jet A Fuel,jet fuel / kerosene,KSICP,113.5,Lb / 1000 Gallon,18786.60539602,Lb / 1000 Gallon
20400111,Internal Combustion Engines,Engine Testing,Aircraft Engine Testing,JP-5 Fuel,jet fuel / kerosene,KSICP,113.5,Lb / 1000 Gallon,18786.60539602,Lb / 1000 Gallon
20400112,Internal Combustion Engines,Engine Testing,Aircraft Engine Testing,JP-4 Fuel,jet fuel / kerosene,KSICP,113.5,Lb / 1000 Gallon,18786.60539602,Lb / 1000 Gallon
20400301,Internal Combustion Engines,Engine Testing,Turbine,Natural Gas,gas,NGICP,120,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
20400302,Internal Combustion Engines,Engine Testing,Turbine,Diesel/Kerosene,jet fuel / kerosene,KSICP,6.72,Lb / 1000 Gallon,21734.356501,Lb / 1000 Gallon
20400303,Internal Combustion Engines,Engine Testing,Turbine,Distillate Oil,distillate oil,DFICP,6.72,Lb / 1000 Gallon,22209.1434642,Lb / 1000 Gallon
20400305,Internal Combustion Engines,Engine Testing,Turbine,Kerosene/Naphtha,jet fuel / kerosene,KSICP,113.5,Lb / 1000 Gallon,18786.60539602,Lb / 1000 Gallon
20400401,Internal Combustion Engines,Engine Testing,Reciprocating Engine,Gasoline,gasoline,MGICP,3940,Lb / 1000 Gallon,20100.79040112,Lb / 1000 Gallon
20400402,Internal Combustion Engines,Engine Testing,Reciprocating Engine,Diesel/Kerosene,jet fuel / kerosene,KSICP,130,Lb / 1000 Gallon,21734.356501,Lb / 1000 Gallon
20400403,Internal Combustion Engines,Engine Testing,Reciprocating Engine,Distillate Oil,distillate oil,DFICP,130,Lb / 1000 Gallon,22209.1434642,Lb / 1000 Gallon
20400406,Internal Combustion Engines,Engine Testing,Reciprocating Engine,Kerosene/Naphtha (Jet Fuel),jet fuel / kerosene,KSICP,130,Lb / 1000 Gallon,18601.12410156,Lb / 1000 Gallon
2102001000,Stationary Source Fuel Combustion,Industrial,Anthracite Coal,Total: All Boiler Types,coal,CLICP,0.6,Lb / Ton,5674.26859296,Lb / Ton
2102002000,Stationary Source Fuel Combustion,Industrial,Bituminous/Subbituminous Coal,Total: All Boiler Types,coal,CLICP,5,Lb / Ton,4934.21293288,Lb / Ton
2102004000,Stationary Source Fuel Combustion,Industrial,Distillate Oil,Total: Boilers and IC Engines,distillate oil,DFICP,5,Lb / 1000 Gallon,22365.7045535,Lb / 1000 Gallon
2102005000,Stationary Source Fuel Combustion,Industrial,Residual Oil,Total: All Boiler Types,residual oil,RFICP,5,Lb / 1000 Gallon,25788.8951892,Lb / 1000 Gallon
2102006000,Stationary Source Fuel Combustion,Industrial,Natural Gas,Total: Boilers and IC Engines,gas,NGICP,84,Lb / Million Cubic Feet,120811.412304,Lb / Million Cubic Feet
2102011000,Stationary Source Fuel Combustion,Industrial,Kerosene,Total: All Boiler Types,jet fuel / kerosene,KSICP,4.821429,Lb / 1000 Gallon,21295.65034872,Lb / 1000 Gallon
